Faixa,De,Até,Preço Unitário,Total Faixa,Acumulado
1,1,999,"R$ 0,659","R$ 658,21","R$ 658,21"
2,"1.000","9.999","R$ 0,565","R$ 5.085,00","R$ 5.743,21"
3,"10.000","49.999","R$ 0,356","R$ 14.240,00","R$ 19.983,21"
4,"50.000","99.999","R$ 0,262","R$ 13.100,00","R$ 33.083,21"
5,"100.000","249.999","R$ 0,178","R$ 26.700,00","R$ 59.783,21"
6,"250.000","499.999","R$ 0,157","R$ 39.250,00","R$ 99.033,21"
7,"500.000","999.999","R$ 0,146","R$ 73.000,00","R$ 172.033,21"
8,"1.000.000","1.499.999","R$ 0,136","R$ 68.000,00","R$ 240.033,21"
9,"1.500.000","2.999.999","R$ 0,115","R$ 172.500,00","R$ 412.533,21"
10,"3.000.000","4.999.999","R$ 0,0700","R$ 140.000,00","R$ 552.533,21"
11,"5.000.000","6.999.999","R$ 0,0600","R$ 120.000,00","R$ 672.533,21"
12,"7.000.000","9.999.999","R$ 0,0500","R$ 150.000,00","R$ 822.533,21"
13,"10.000.000","19.999.999","R$ 0,0400","R$ 400.000,00","R$ 1.222.533,21"
14,"20.000.000","24.999.999","R$ 0,0350","R$ 175.000,00","R$ 1.397.533,21"
15,"25.000.000","29.999.999","R$ 0,0300","R$ 150.000,00","R$ 1.547.533,21"
16,"30.000.000+",∞,"R$ 0,0250",-,-

Tipo de Consulta,Consulta Básica CNPJ
Endpoint,/basica/{ni}
Modelo de Cobrança,ESCALONADO/PROGRESSIVO
Contrato,260009
Recursos Incluídos,Check Time Stamp (Carimbo de Tempo)
